frequency,signal_date,common_names,median_available_factors,minimum_available_factors
weekly,2019-08-09,494,13.0,10
weekly,2019-08-16,494,13.0,10
weekly,2019-08-23,494,13.0,10
weekly,2019-08-30,494,13.0,10
weekly,2019-09-06,495,13.0,10
weekly,2019-09-13,495,13.0,10
weekly,2019-09-20,494,13.0,10
weekly,2019-09-27,495,13.0,10
weekly,2019-10-04,495,13.0,10
weekly,2019-10-11,495,13.0,10
weekly,2019-10-18,494,13.0,10
weekly,2019-10-25,494,13.0,10
weekly,2019-11-01,494,14.0,10
weekly,2019-11-08,494,14.0,10
weekly,2019-11-15,494,14.0,10
weekly,2019-11-22,495,14.0,10
weekly,2019-11-29,495,14.0,10
weekly,2019-12-06,494,14.0,10
weekly,2019-12-13,496,14.0,10
weekly,2019-12-20,496,14.0,10
weekly,2019-12-27,496,14.0,10
weekly,2020-01-03,495,14.0,10
weekly,2020-01-10,495,14.0,10
weekly,2020-01-17,495,14.0,10
weekly,2020-01-24,494,14.0,10
weekly,2020-01-31,495,14.0,10
weekly,2020-02-07,496,14.0,10
weekly,2020-02-14,496,14.0,10
weekly,2020-02-21,496,14.0,10
weekly,2020-02-28,496,14.0,10
weekly,2020-03-06,496,14.0,10
weekly,2020-03-13,498,14.0,10
weekly,2020-03-20,499,14.0,10
weekly,2020-03-27,499,14.0,10
weekly,2020-04-03,498,14.0,10
weekly,2020-04-09,497,14.0,10
weekly,2020-04-17,497,14.0,10
weekly,2020-04-24,497,14.0,10
weekly,2020-05-01,497,14.0,10
weekly,2020-05-08,497,14.0,10
weekly,2020-05-15,497,14.0,10
weekly,2020-05-22,497,14.0,10
weekly,2020-05-29,498,14.0,10
weekly,2020-06-05,498,14.0,10
weekly,2020-06-12,498,14.0,10
weekly,2020-06-19,498,14.0,10
weekly,2020-06-26,498,14.0,10
weekly,2020-07-02,498,14.0,10
weekly,2020-07-10,498,14.0,10
weekly,2020-07-17,498,14.0,10
weekly,2020-07-24,498,14.0,10
weekly,2020-07-31,497,14.0,10
weekly,2020-08-07,497,14.0,10
weekly,2020-08-14,497,14.0,10
weekly,2020-08-21,497,14.0,10
weekly,2020-08-28,497,14.0,10
weekly,2020-09-04,498,14.0,10
weekly,2020-09-11,498,14.0,10
weekly,2020-09-18,498,14.0,10
weekly,2020-09-25,498,14.0,10
weekly,2020-10-02,497,14.0,10
weekly,2020-10-09,497,14.0,10
weekly,2020-10-16,497,14.0,10
weekly,2020-10-23,497,14.0,10
weekly,2020-10-30,497,14.0,10
weekly,2020-11-06,496,14.0,10
weekly,2020-11-13,496,14.0,10
weekly,2020-11-20,496,14.0,10
weekly,2020-11-27,496,14.0,10
weekly,2020-12-04,496,14.0,10
weekly,2020-12-11,497,14.0,10
weekly,2020-12-18,497,14.0,10
weekly,2020-12-24,497,14.0,10
weekly,2020-12-31,497,14.0,10
weekly,2021-01-08,497,14.0,10
weekly,2021-01-15,497,14.0,10
weekly,2021-01-22,497,14.0,10
weekly,2021-01-29,497,14.0,10
weekly,2021-02-05,497,14.0,10
weekly,2021-02-12,497,14.0,10
weekly,2021-02-19,497,14.0,10
weekly,2021-02-26,497,14.0,10
weekly,2021-03-05,497,14.0,10
weekly,2021-03-12,497,14.0,10
weekly,2021-03-19,499,14.0,10
weekly,2021-03-26,500,14.0,10
weekly,2021-04-01,500,14.0,10
weekly,2021-04-09,500,14.0,10
weekly,2021-04-16,499,14.0,10
