factor_id,frequency,top_k,cost_bps,path_type,maximum_abs_diff,identity_passed
XS004_HIGH_52W,weekly,10,10,factor_topk,4.274358644806853e-15,True
XS004_HIGH_52W,weekly,10,20,factor_topk,1.4210854715202004e-14,True
XS004_HIGH_52W,weekly,20,0,factor_topk,8.326672684688674e-17,True
XS004_HIGH_52W,weekly,20,5,factor_topk,7.854827899222983e-15,True
XS004_HIGH_52W,weekly,20,10,factor_topk,1.429412144204889e-14,True
XS004_HIGH_52W,weekly,20,20,factor_topk,3.1086244689504383e-15,True
XS004_HIGH_52W,weekly,50,0,factor_topk,0.0,True
XS004_HIGH_52W,weekly,50,5,factor_topk,2.4646951146678475e-14,True
XS004_HIGH_52W,weekly,50,10,factor_topk,1.4335754805472334e-14,True
XS004_HIGH_52W,weekly,50,20,factor_topk,1.3877787807814457e-14,True
XS007_ST_REV_21,monthly,5,0,factor_topk,3.552713678800501e-15,True
XS007_ST_REV_21,monthly,5,5,factor_topk,1.4432899320127035e-14,True
XS007_ST_REV_21,monthly,5,10,factor_topk,2.1926904736346842e-14,True
XS007_ST_REV_21,monthly,5,20,factor_topk,1.0436096431476471e-14,True
XS007_ST_REV_21,monthly,10,0,factor_topk,8.326672684688674e-17,True
XS007_ST_REV_21,monthly,10,5,factor_topk,1.3822276656583199e-14,True
XS007_ST_REV_21,monthly,10,10,factor_topk,6.9111383282915995e-15,True
XS007_ST_REV_21,monthly,10,20,factor_topk,1.1258355359089478e-14,True
XS007_ST_REV_21,monthly,20,0,factor_topk,2.220446049250313e-16,True
XS007_ST_REV_21,monthly,20,5,factor_topk,2.2648549702353193e-14,True
XS007_ST_REV_21,monthly,20,10,factor_topk,1.6209256159527285e-14,True
XS007_ST_REV_21,monthly,20,20,factor_topk,1.199040866595169e-14,True
XS007_ST_REV_21,monthly,50,0,factor_topk,2.220446049250313e-16,True
XS007_ST_REV_21,monthly,50,5,factor_topk,1.5543122344752192e-15,True
XS007_ST_REV_21,monthly,50,10,factor_topk,6.217248937900877e-15,True
XS007_ST_REV_21,monthly,50,20,factor_topk,3.1086244689504383e-15,True
XS007_ST_REV_21,weekly,5,0,factor_topk,0.0,True
XS007_ST_REV_21,weekly,5,5,factor_topk,4.085620730620576e-14,True
XS007_ST_REV_21,weekly,5,10,factor_topk,1.7985612998927536e-14,True
XS007_ST_REV_21,weekly,5,20,factor_topk,1.3100631690576847e-14,True
XS007_ST_REV_21,weekly,10,0,factor_topk,5.551115123125783e-17,True
XS007_ST_REV_21,weekly,10,5,factor_topk,1.1546319456101628e-14,True
XS007_ST_REV_21,weekly,10,10,factor_topk,1.6431300764452317e-14,True
XS007_ST_REV_21,weekly,10,20,factor_topk,1.3780643293159756e-14,True
XS007_ST_REV_21,weekly,20,0,factor_topk,4.440892098500626e-16,True
XS007_ST_REV_21,weekly,20,5,factor_topk,1.865174681370263e-14,True
XS007_ST_REV_21,weekly,20,10,factor_topk,3.4638958368304884e-14,True
XS007_ST_REV_21,weekly,20,20,factor_topk,7.771561172376096e-15,True
XS007_ST_REV_21,weekly,50,0,factor_topk,4.440892098500626e-16,True
XS007_ST_REV_21,weekly,50,5,factor_topk,1.687538997430238e-14,True
XS007_ST_REV_21,weekly,50,10,factor_topk,3.863576125695545e-14,True
XS007_ST_REV_21,weekly,50,20,factor_topk,1.687538997430238e-14,True
XS008_SAME_MONTH_5Y,monthly,5,0,factor_topk,5.551115123125783e-17,True
XS008_SAME_MONTH_5Y,monthly,5,5,factor_topk,3.197442310920451e-14,True
XS008_SAME_MONTH_5Y,monthly,5,10,factor_topk,3.9968028886505635e-15,True
XS008_SAME_MONTH_5Y,monthly,5,20,factor_topk,4.440892098500626e-15,True
XS008_SAME_MONTH_5Y,monthly,10,0,factor_topk,8.326672684688674e-17,True
XS008_SAME_MONTH_5Y,monthly,10,5,factor_topk,2.525757381022231e-15,True
