factor_id,frequency,year,median_rank_ic,mean_rank_ic,signal_dates
XS019_PRICE_DELAY_52W,monthly,2019,0.0181071345229413,-0.01120225190359723,12
XS019_PRICE_DELAY_52W,monthly,2020,-0.02476966185508017,0.00019126604217100754,12
XS019_PRICE_DELAY_52W,monthly,2021,-0.020067605089697464,-0.01708122661585699,12
XS019_PRICE_DELAY_52W,monthly,2022,0.02206876403409228,0.027033479567791296,12
XS019_PRICE_DELAY_52W,monthly,2023,-0.08181605751076952,-0.0417257238775143,12
XS019_PRICE_DELAY_52W,monthly,2024,-0.05999756595478159,-0.03627607591750809,12
XS019_PRICE_DELAY_52W,monthly,2025,-0.08486091750104213,-0.03518478570457651,12
XS019_PRICE_DELAY_52W,monthly,2026,-0.0979837842947326,-0.05742434198871945,4
XS019_PRICE_DELAY_52W,weekly,2017,-0.17273823998449103,-0.17273823998449103,1
XS019_PRICE_DELAY_52W,weekly,2018,0.03397547667469364,0.014171442130816062,52
XS019_PRICE_DELAY_52W,weekly,2019,-0.016252428171224645,-0.013654523363417685,52
XS019_PRICE_DELAY_52W,weekly,2020,0.011244851148079289,0.008880432811985575,53
XS019_PRICE_DELAY_52W,weekly,2021,-0.025081246831011414,-0.007380559820707007,52
XS019_PRICE_DELAY_52W,weekly,2022,0.038447014510949604,0.025030196806812042,52
XS019_PRICE_DELAY_52W,weekly,2023,-0.029059549367091316,-0.01683350772462527,52
XS019_PRICE_DELAY_52W,weekly,2024,-0.007657414074227336,-0.02871482130438287,52
XS019_PRICE_DELAY_52W,weekly,2025,-0.007631221205502312,-0.02448667307772043,52
XS019_PRICE_DELAY_52W,weekly,2026,0.009753488516144111,-0.010156798584877405,25
XS020_VOLUME_SHOCK_50D,monthly,2017,-0.03767652829831338,-0.03767652829831338,1
XS020_VOLUME_SHOCK_50D,monthly,2018,0.06413296938861315,0.05612159514108847,12
XS020_VOLUME_SHOCK_50D,monthly,2019,0.051459389034300196,0.03954150440432549,12
XS020_VOLUME_SHOCK_50D,monthly,2020,-0.010202239119205592,-0.006437018674638777,12
XS020_VOLUME_SHOCK_50D,monthly,2021,0.043492127331631644,0.030838577009891427,12
XS020_VOLUME_SHOCK_50D,monthly,2022,-0.0033867196589063746,0.016032855513600574,12
XS020_VOLUME_SHOCK_50D,monthly,2023,-0.012721712850145154,-0.02743786996787395,12
XS020_VOLUME_SHOCK_50D,monthly,2024,-0.040276761119849076,-0.017919203455651376,12
XS020_VOLUME_SHOCK_50D,monthly,2025,-0.015062757764766763,-0.00244668105768134,12
XS020_VOLUME_SHOCK_50D,monthly,2026,0.01651677157750792,0.028848217528556413,4
XS020_VOLUME_SHOCK_50D,weekly,2017,-0.044142772460290074,-0.044142772460290074,1
XS020_VOLUME_SHOCK_50D,weekly,2018,0.0009715590765743925,0.011890887915267797,52
XS020_VOLUME_SHOCK_50D,weekly,2019,0.01410021181788585,0.01611331547773224,52
XS020_VOLUME_SHOCK_50D,weekly,2020,-0.00661646167552022,-0.014213646820707335,53
XS020_VOLUME_SHOCK_50D,weekly,2021,-0.0004540930848637533,0.0014879725969197167,52
XS020_VOLUME_SHOCK_50D,weekly,2022,0.007940284197753446,0.0044974159967916694,52
