cik10,companyfacts_error_code,companyfacts_http_status,companyfacts_object_key,companyfacts_raw_record_id,companyfacts_raw_sha256,companyfacts_raw_size_bytes,exception_review_status,exception_reviewed_date,explicit_missing,fact_value_state,imputation_applied,imputation_policy,imputed_fact_rows,periodic_form_amendments_included,periodic_form_bases,periodic_form_count,reason_code,schema_version,source,status,submissions_cik10,ticker
0000037996,,200,,6a24da39c50d7ecb79dc16ac7f9142cccae24d1206da6e2a5c04e27c48c9c8d8,8643ddcdbfa82280812fbdfbf797dd487c64cfd8dac6c0328b054ff71db9f643,263064,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000037996,
0000038074,,200,,9c5bd105f06ff53cc956cfe976191562bce84a1a0adc42ddd0bd2503cd4daee0,861f488cc677881e6c3e2a7225282183573476d4a7a2da265bfe6f02a4ed9c02,75097,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000038074,
0000038777,,200,,72cac3666dd863ab49fbc61a71570c7e4b7bd96d7dd967148633999a4b977f07,d688c3c4c547d8583c839801c0a5f79f6111e3d25f97e598a12e6fa6fe788017,315873,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000038777,
0000039899,,200,,c2dad782470df2002db9f1f154360fa4580414bb57e63f8371584459422310a2,35bb0522f31fedf7eadd2df5749869979b81f23c56983001fb488e4089fe2128,269693,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000039899,
0000039911,,200,,b2ca57809517b9aaa262fbdb4c02b119dac22cb853a12a13256266299b5334de,486a9fd4c92cccd35e27f5770b23e77b96918ed5ffb1db4e4e1eada2ff805046,259388,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000039911,
0000040533,,200,,de2057eac0994aac44f8e85d6e8636ff2d5bd637d0e7df3fc9f55710edf91bd4,18d741b6c0cf2e23914d1bfd71f64ba873049a39e700713331bb75ef06dbf587,248772,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000040533,
0000040545,,200,,90be373902bee198597fa9b26a74e263c02ea08ee1d2edc449683ecbc86fc363,d38c8f8b00146774698743be36b3bc918a4fdd751d63c505a08018395b0b6144,439549,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000040545,
0000040704,,200,,7185b4641ed8d867d0b43168ef342e56eee610af8369f2d0e5bd494a1a14daa6,9bc5df77727ea2f34eaaccefef3cd002851ae41a30c197b70c2c0f4c7dad15e0,316093,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000040704,
0000040987,,200,,87fdeb53efd8cf78e54598078860a34f7b59a9bcc35ea5f8de9758159ded7b8a,5422a6302cc46efbf47fffd464b2d0dd3aaad820600a6af650986520823676c3,259138,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000040987,
0000042582,,200,,40f33f91d79e5913a85a4ef8f0c40cd47d7a9889915dd9cce5eaa9ef3750819b,03b7d6725707b6c6848dc5003871fbef4f7cdf298e41755df5a9a5012c4e7d60,299626,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000042582,
0000045012,,200,,01759270d6bb9e8b9b5b1968e36c8eac7c65bece161a02db9daed8bff5387ef3,fcc0780429052017a1b9cd40350a62d2818d55d48247e845bccee1f9e963911a,215476,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000045012,
0000046080,,200,,93ea063771acaa53f55dc386e035ae7d795837502b8f433d5ebe7906761169d4,a4ff805852ce7adc313631a872b184bfcc65ff53850618aaf4779f30572e02cc,283489,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000046080,
0000046765,,200,,a840b6c3d3a66b52457cdde73c3ab2db65cccf4cb83a13a932e963f509eecb9e,1f0b253d6cade701ed5c9b4963fb6e9750666ffcc118447be9e81919fa22b680,322746,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000046765,
