group_id,strategy_id,portfolio_mode,variant_id,cost_bps,borrow_fee_annual,reference_strategy_id,comparison_type,metric,estimate
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,5.0,0.01,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,sharpe_excess_rf,-0.011623908159030083
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,5.0,0.01,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,max_drawdown,0.22462383140811437
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,5.0,0.01,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,annualized_volatility,-0.0791622117476807
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,5.0,0.01,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,annualized_l1_turnover,-1.5548399062483806
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,5.0,0.03,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,cagr,0.0048786078567482835
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,5.0,0.03,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,sharpe_excess_rf,-0.020774808462553127
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,5.0,0.03,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,max_drawdown,0.22430918356222762
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,5.0,0.03,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,annualized_volatility,-0.07917656286401739
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,5.0,0.03,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,annualized_l1_turnover,-1.5560514952338043
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,10.0,0.0,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,cagr,0.0025906865251013877
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,10.0,0.0,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,sharpe_excess_rf,-0.015288128633108633
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,10.0,0.0,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,max_drawdown,0.2239774922075093
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,10.0,0.0,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,annualized_volatility,-0.07921302302039859
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,10.0,0.0,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,annualized_l1_turnover,-1.5542319685057162
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,10.0,0.01,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,cagr,0.0036282165518486433
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,10.0,0.01,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,sharpe_excess_rf,-0.019934786851512037
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,10.0,0.01,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,max_drawdown,0.22383113189389126
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,10.0,0.01,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,annualized_volatility,-0.07922033042584525
