comparison_id,candidate_process_id,parent_process_id,frequency,economic_mean_increment,economic_p,mean_rank_ic_increment,rank_ic_p,economic_q,rank_ic_q
PAIR__UNI_LGBM__XS020_VOLUME_SHOCK_50D,UNI_LGBM__XS020_VOLUME_SHOCK_50D,RAW__XS020_VOLUME_SHOCK_50D,monthly,-0.0014167683737185094,0.6878624275144971,-0.00505028911503358,0.7708458308338332,1.0,1.0
PAIR__UNI_LGBM__XS032_GROSS_PROFIT_AT,UNI_LGBM__XS032_GROSS_PROFIT_AT,RAW__XS032_GROSS_PROFIT_AT,monthly,0.0002423961518485505,0.45350929814037194,-0.001873836515620132,0.5818836232753449,1.0,1.0
PAIR__UNI_LGBM__XS041_ASSET_GROWTH,UNI_LGBM__XS041_ASSET_GROWTH,RAW__XS041_ASSET_GROWTH,monthly,-0.005138750790849914,0.9208158368326335,-0.003747018072811919,0.5796840631873625,1.0,1.0
PAIR__UNI_LGBM__XS056_CFO_ACCRUALS_PT,UNI_LGBM__XS056_CFO_ACCRUALS_PT,RAW__XS056_CFO_ACCRUALS_PT,monthly,-0.0009142163393925729,0.5860827834433113,0.007090087721588153,0.1943611277744451,1.0,1.0
PAIR__STATIC_EQ_ROLE5,STATIC_EQ_ROLE5,RAW__XS003_MOM_12_7,monthly,-0.008626106940762036,0.9986002799440112,-0.002772587794593215,0.6244751049790042,1.0,1.0
PAIR__STATIC_EQ_ALL14,STATIC_EQ_ALL14,RAW__XS003_MOM_12_7,monthly,-0.015020463251122218,1.0,-0.009316648619647849,0.7014597080583883,1.0,1.0
PAIR__STATIC_DIM6_ALL14,STATIC_DIM6_ALL14,RAW__XS003_MOM_12_7,monthly,-0.011418921180194433,0.9902019596080783,-0.015036563747736773,0.7658468306338733,1.0,1.0
PAIR__FO_RIDGE__ROLE5,FO_RIDGE__ROLE5,STATIC_EQ_ROLE5,monthly,-0.0013398128091404594,0.6016796640671865,-0.014870724852579656,0.7428514297140572,1.0,1.0
PAIR__FO_LGBM__ROLE5,FO_LGBM__ROLE5,STATIC_EQ_ROLE5,monthly,,1.0,,1.0,1.0,1.0
PAIR__FO_RIDGE__ALL14,FO_RIDGE__ALL14,STATIC_DIM6_ALL14,monthly,0.0009464449822768584,0.4237152569486103,0.008914538318966976,0.3707258548290342,1.0,1.0
PAIR__FO_LGBM__ALL14,FO_LGBM__ALL14,STATIC_DIM6_ALL14,monthly,,1.0,,1.0,1.0,1.0
PAIR__FS_RIDGE__ROLE5_S2,FS_RIDGE__ROLE5_S2,FO_RIDGE__ROLE5,monthly,0.0002474930586327911,0.47230553889222154,0.006774507527599833,0.3285342931413717,1.0,1.0
PAIR__FS_LGBM__ROLE5_S2,FS_LGBM__ROLE5_S2,FO_LGBM__ROLE5,monthly,,1.0,,1.0,1.0,1.0
PAIR__FS_RIDGE__ALL14_S6,FS_RIDGE__ALL14_S6,FO_RIDGE__ALL14,monthly,0.0039473449277307475,0.22975404919016196,0.01594683024322275,0.2519496100779844,1.0,1.0
PAIR__FS_LGBM__ALL14_S6,FS_LGBM__ALL14_S6,FO_LGBM__ALL14,monthly,,1.0,,1.0,1.0,1.0
