process_id,frequency,period,periods,relative_log_sum,active_mean
UNI_RIDGE__XS015_MAX_21,monthly,full,101,-0.024997236711230705,-0.0005265782252981364
UNI_RIDGE__XS015_MAX_21,weekly,2018_2021,209,-0.2853185807534967,-0.0014907821865346625
UNI_RIDGE__XS015_MAX_21,weekly,2022_2026h1,234,-0.017366218801988534,-9.881448800215982e-05
UNI_RIDGE__XS015_MAX_21,weekly,full,443,-0.3026847995554852,-0.0007555215963391645
UNI_RIDGE__XS018_AMIHUD_252,monthly,2018_2021,48,0.15710213454763552,0.0029422250977823097
UNI_RIDGE__XS018_AMIHUD_252,monthly,2022_2026h1,53,0.0443452499471522,0.0012512825287271515
UNI_RIDGE__XS018_AMIHUD_252,monthly,full,101,0.20144738449478766,0.002054898799169207
UNI_RIDGE__XS018_AMIHUD_252,weekly,2018_2021,209,0.13929966143604333,0.0006126423463309057
UNI_RIDGE__XS018_AMIHUD_252,weekly,2022_2026h1,234,-0.4823391611592595,-0.0019318751637774718
UNI_RIDGE__XS018_AMIHUD_252,weekly,full,443,-0.34303949972321623,-0.0007314143068640386
UNI_RIDGE__XS019_PRICE_DELAY_52W,monthly,2018_2021,48,0.13503618495306807,0.002962149981968703
UNI_RIDGE__XS019_PRICE_DELAY_52W,monthly,2022_2026h1,53,-0.30623098906500035,-0.005776534703317527
UNI_RIDGE__XS019_PRICE_DELAY_52W,monthly,full,101,-0.1711948041119323,-0.0016234964370428835
UNI_RIDGE__XS019_PRICE_DELAY_52W,weekly,2018_2021,209,-0.06870906989295798,-0.0005358854125601019
UNI_RIDGE__XS019_PRICE_DELAY_52W,weekly,2022_2026h1,234,-0.314818428693677,-0.0012651535478752109
UNI_RIDGE__XS019_PRICE_DELAY_52W,weekly,full,443,-0.38352749858663504,-0.0009210970235391888
UNI_RIDGE__XS020_VOLUME_SHOCK_50D,monthly,2018_2021,48,0.18606706485515945,0.0038760955847379833
UNI_RIDGE__XS020_VOLUME_SHOCK_50D,monthly,2022_2026h1,53,-0.16450140909926722,-0.0029685725076319725
UNI_RIDGE__XS020_VOLUME_SHOCK_50D,monthly,full,101,0.021565655755892282,0.00028433906101909553
UNI_RIDGE__XS020_VOLUME_SHOCK_50D,weekly,2018_2021,209,-0.6975690895116295,-0.0031116546786658476
UNI_RIDGE__XS020_VOLUME_SHOCK_50D,weekly,2022_2026h1,234,-0.2326136266104668,-0.0009309132576792108
UNI_RIDGE__XS020_VOLUME_SHOCK_50D,weekly,full,443,-0.9301827161220964,-0.0019597506323659085
UNI_RIDGE__XS032_GROSS_PROFIT_AT,monthly,2018_2021,48,0.07803534451276464,0.0016954479365758935
UNI_RIDGE__XS032_GROSS_PROFIT_AT,monthly,2022_2026h1,53,-0.14246385555364574,-0.002381376130818039
UNI_RIDGE__XS032_GROSS_PROFIT_AT,monthly,full,101,-0.06442851104088114,-0.0004438755839377541
