process_id,frequency,economic_mean,economic_p,mean_rank_ic,rank_ic_p,economic_q,rank_ic_q
UNI_RIDGE__XS015_MAX_21,monthly,-0.00024749739318050205,0.5432913417316537,0.007869379743246653,0.3057388522295541,1.0,0.8880140638538959
UNI_RIDGE__XS018_AMIHUD_252,monthly,0.0019945285593543334,0.2471505698860228,-0.013046478170081649,0.8548290341931614,1.0,1.0
UNI_RIDGE__XS019_PRICE_DELAY_52W,monthly,-0.0016949980605141812,0.7446510697860428,0.00843471798611878,0.3053389322135573,1.0,0.8880140638538959
UNI_RIDGE__XS020_VOLUME_SHOCK_50D,monthly,0.00021352134411774536,0.46350729854029193,0.004339251582641648,0.3131373725254949,1.0,0.8880140638538959
UNI_RIDGE__XS032_GROSS_PROFIT_AT,monthly,-0.0006379060499097142,0.6192761447710458,0.009811914837334896,0.1949610077984403,1.0,0.8880140638538959
UNI_RIDGE__XS041_ASSET_GROWTH,monthly,-8.523457663638842e-05,0.5108978204359128,0.003073487280156922,0.38852229554089185,1.0,0.8880140638538959
UNI_RIDGE__XS056_CFO_ACCRUALS_PT,monthly,0.0012885757533926349,0.33373325334933013,0.005634002891025489,0.20475904819036192,1.0,0.8880140638538959
UNI_LGBM__XS001_MOM_255_0,monthly,0.0045050625894612496,0.10677864427114576,0.0035347977590207687,0.375124975004999,1.0,0.8880140638538959
UNI_LGBM__XS002_MOM_12_1,monthly,0.000175539518807694,0.4917016596680664,-0.004543664373919654,0.6794641071785643,1.0,1.0
UNI_LGBM__XS003_MOM_12_7,monthly,0.0035176204684029336,0.1249750049990002,0.011368741506679861,0.14157168566286743,1.0,0.8880140638538959
UNI_LGBM__XS004_HIGH_52W,monthly,-0.0035352813245244676,0.9604079184163168,-0.007845011218316787,0.8280343931213757,1.0,1.0
UNI_LGBM__XS007_ST_REV_21,monthly,-0.0008378920907765259,0.5950809838032394,0.007636537616164823,0.24235152969406118,1.0,0.8880140638538959
UNI_LGBM__XS008_SAME_MONTH_5Y,monthly,,1.0,,1.0,1.0,1.0
UNI_LGBM__XS013_LOW_BETA_FP,monthly,,1.0,,1.0,1.0,1.0
UNI_LGBM__XS015_MAX_21,monthly,1.7117044666118496e-05,0.5058988202359528,0.0027090336460608676,0.3717256548690262,1.0,0.8880140638538959
UNI_LGBM__XS018_AMIHUD_252,monthly,-0.0006161722130710213,0.595880823835233,-0.01284022718338233,0.9786042791441711,1.0,1.0
UNI_LGBM__XS019_PRICE_DELAY_52W,monthly,-0.005471479213950508,0.999000199960008,0.0017092360816035157,0.40211957608478305,1.0,0.8880140638538959
UNI_LGBM__XS020_VOLUME_SHOCK_50D,monthly,-0.0010856516458591233,0.7130573885222955,0.00704657274601615,0.1231753649270146,1.0,0.8880140638538959
UNI_LGBM__XS032_GROSS_PROFIT_AT,monthly,-0.00016198692703908875,0.5270945810837833,0.009175155057581654,0.11757648470305938,1.0,0.8880140638538959
UNI_LGBM__XS041_ASSET_GROWTH,monthly,-0.001257196796010272,0.7350529894021196,-0.00491837863940899,0.7162567486502699,1.0,1.0
UNI_LGBM__XS056_CFO_ACCRUALS_PT,monthly,0.0024599514926200105,0.15236952609478105,0.005870136173379196,0.21135772845430914,1.0,0.8880140638538959
STATIC_EQ_ROLE5,monthly,0.0014170591619520117,0.3083383323335333,0.00579213679463352,0.34913017396520696,1.0,0.8880140638538959
STATIC_EQ_ALL14,monthly,-0.004977297148408172,0.9532093581283744,-0.0007519240304211128,0.5136972605478904,1.0,0.9627511997600479
STATIC_DIM6_ALL14,monthly,-0.0013757550774803882,0.6806638672265547,-0.006471839158510043,0.6440711857628474,1.0,1.0
FO_RIDGE__ROLE5,monthly,7.724635281155219e-05,0.4907018596280744,-0.009078588057946136,0.758248350329934,1.0,1.0
FO_LGBM__ROLE5,monthly,,1.0,,1.0,1.0,1.0
FO_RIDGE__ALL14,monthly,-0.0004293100952035307,0.5292941411717657,0.0024426991604569333,0.4441111777644471,1.0,0.9415156968606279
FO_LGBM__ALL14,monthly,,1.0,,1.0,1.0,1.0
FS_RIDGE__ROLE5_S2,monthly,0.000324739411444344,0.47890421915616876,-0.0023040805303463064,0.5774845030993802,1.0,0.9627511997600479
FS_LGBM__ROLE5_S2,monthly,,1.0,,1.0,1.0,1.0
FS_RIDGE__ALL14_S6,monthly,0.0035180348325272183,0.19616076784643072,0.01838952940367967,0.16416716656668667,1.0,0.8880140638538959
FS_LGBM__ALL14_S6,monthly,,1.0,,1.0,1.0,1.0
